Q,A,QE,AE
You're half the reason I'm going. [LAUGHTER],"Oh, yay. Thank you. [LAUGHTER].",hap,hap
"I know ahh- yeah-, I'm definitely looking forward to it, and I mean they had a great football season last year","Oh, totally totally.",xxx,hap
"Oh, totally totally.","You know what I mean, I bet the home games, are just like nuts you know.",hap,hap
"You know what I mean, I bet the home games, are just like nuts you know.",you get to like be a part of that.,hap,hap
"Like you get to be a part of that. Like the, like the- Like a cult.",What?,hap,hap
[LAUGHTER] I know. I mean part of-,"[LAUGHTER] like a- like a- [LAUGHTER] No, but I mean like everywhere you go people know who you are.",hap,hap
"[LAUGHTER] like a- like a- [LAUGHTER] No, but I mean like everywhere you go people know who you are.",Yeah. Right. A cult. I'm looking forward to being in the cult.,hap,hap
Maybe we'll do it again this year.,So you know what you are going to do there?,hap,hap
So you know what you are going to do there?,"What's that? ahh Well, you know I'm I'm thinking um I'm leaning towards like communications",hap,hap
"I-I don't know. Kind of a broad,","Okay. They have a lot of good schools, right?",hap,hap
"Okay. They have a lot of good schools, right?","yeah, I mean a lot-a lot  of good stuff oh, yeah, I mean it's- it's just a really good school; so really, whatever I pick I can't go wrong. I mean I'm just",hap,hap
"I'm looking forward to getting there. I mean, God, the campus is cool, you know it's like all just very confined I mean just you know it's a college campus you know it's like","Yes, it's intimate.",hap,hap
"It's college- oh my God it's college, [GARBAGE] so it's like crazy.",I know. It's so cool.,xxx,hap
"Oh man. So, I don't know you know, we'll see - we'll see how it goes and, yeah, I'm looking forward to it","Fair for you, Wow, oh my Gosh.",xxx,hap
"Fair for you, Wow, oh my Gosh.",I mean you got to - you got to show me the ropes 'cause I've never been there before so I mean you know your way around already and- [LAUGHTER],hap,hap
I mean you got to - you got to show me the ropes 'cause I've never been there before so I mean you know your way around already and- [LAUGHTER],I will do the best I can.,hap,hap
"Well, there are all kinds of awesome secrets so you'll really enjoy it. It's really great. I'm so glad.","Oh, alright.",hap,hap
"I'm-I'm looking forward to that. [BREATHING] man, So yeah, I think I'm going to come out a little early so I mean I'll give you a call and we'll definitely-",Yay,hap,hap
"and we'll explore and you going to have such a good time, you're going to fit in so well, it's going to be awesome","[LAUGHTER] Thanks, yes, thanks, yes That'll be cool.",hap,hap
"[LAUGHTER] Thanks, yes, thanks, yes That'll be cool.",So Congratulations. That's awesome.,hap,hap
All right. Customer service this is Steve.,"Hi. Thank you so much, you're a real person, right, you're not like a recording?",neu,hap
"I'm a real person, yes.","Okay. Before I get into it, um your menu or whatever like where you choose the different thing depending on the-",xxx,hap
"it leads you around in circles, you can't, there is no way to like get to a real person if you don't already know how to get to there.","Right. No, yes I know. It is-It is a little frustrating.",hap,neu
"Right. No, yes I know. It is-It is a little frustrating.","So is there any way to like bypass that because that is so, like I've been going around in circles",neu,fru
"like press nine, press zero, press back to the menu, like I can't get through to what I'm supposed to get through to.","I- I'll give you a little hint, next time if it asks if you're on a rotary phone you know, just stay on the line instead of - instead of hitting one or two to say if you're like on a touch tone",fru,neu
"pretend like your on a rotary phone, goes straight through to a person.","Okay. Oh, that would just make it so much better, 'cause I cannot handle it's just like oh, my God I can't sit here any longer and talk to this lady with this pleasant voice.",neu,fru
"Okay. Oh, that would just make it so much better, 'cause I cannot handle it's just like oh, my God I can't sit here any longer and talk to this lady with this pleasant voice.",I know they don't tell you that kind of thing.,fru,neu
I know they don't tell you that kind of thing.,"Sorry. Okay. Um-, yes",neu,neu
Alright. Well you got me now.,"Thank you very much. Um  So I have a charge on my credit card that, um, isn't mine.",xxx,neu
it really freaks me out when I got my bill because it was like I don't -- I didn't spend this. This is not my charge.,"Yea. All right. Well, let me-let me look it up here for a second. Uh, so i think",fru,neu
"Yea. All right. Well, let me-let me look it up here for a second. Uh, so i think","Okay, it was um- at the [GARBAGE] sorry, it was at a department store, I think it was Macy's or something",neu,neu
"Okay, it was um- at the [GARBAGE] sorry, it was at a department store, I think it was Macy's or something","Okay, Alright, yeah. I- I see it on here.",neu,neu
"Okay, Alright, yeah. I- I see it on here.","and it was like something like eight hundred dollars. I don't remember. It was just a lot and I have thing in front of me right now, but-",neu,fru
"and it was like something like eight hundred dollars. I don't remember. It was just a lot and I have thing in front of me right now, but-","All right. Well, you know that's, that's what we have all of our protection plans for and everything like that so I mean it's",fru,neu
Okay. So is there something I can do to get rid of it?,it- it'll work out fine.,xxx,neu
"Oh I can get the form right now? Oh, that'll be so much better.  Okay.",Yeah. Yeah. You get the form right now. and- yeah,xxx,neu
-But online is faster I can do that.,"Right. You can go online, print it out, and just fill out the form and um- send it to us um- you know,  regarding the grievance and-",xxx,neu
I mean I still have my card.,Right. I mean we might,xxx,neu
Okay.,So is there any- I mean what if they spend something again?,neu,fea
So is there any- I mean what if they spend something again?,"Uh, I mean have you been shopping around on the Internet and stuff? I mean that you gave-",fea,neu
"Uh, I mean have you been shopping around on the Internet and stuff? I mean that you gave-",I did buy one thing on ebay I don't know that might-,neu,neu
I did buy one thing on ebay I don't know that might-,"Uh-ha, I mean usually sites are pretty well protected but sometimes I mean information gets out, so",neu,neu
so it is a little a little hard in that situation if you want -- you know you can -um- we can- we can issue another credit card.,"Oh, really?",neu,sur
"Oh, really?","Yeah, yeah. Maybe we'll, uh-",sur,neu
"Oh that'll be great 'cause I could just get a new number, would that be okay because that way I don't have to worry about it happening again?",it's a different number and everything,xxx,neu
"Yes, absolutely.",Okay. All right. Then we'll get it sent out there. And,xxx,neu
Okay. All right. Then we'll get it sent out there. And,Great.,neu,hap
Great.,And you know just I mean be careful in the future if um,hap,neu
And you know just I mean be careful in the future if um,Yeah.,neu,hap
Yeah.,if you're ever online or anything like that I mean just make sure it's a secure site and,hap,neu
"and never you know, give it to anyone out, never even give out your number to any like unreliable company that you haven't heard of or anything like that, all right? Because, um, we want to- we definitely want to help you out, but-","Right, right.",neu,neu
"Yeah, totally.",you know it gets- it gets difficult you know so Alright.,neu,neu
you know it gets- it gets difficult you know so Alright.,Well thank you so much. You've been very helpful. I really appreciate it.,neu,hap
Well thank you so much. You've been very helpful. I really appreciate it.,"Alright Yes, I'm sorry for all the inconvenience but we'll get it taken care of.",hap,neu
"Oh, um-",What's wrong?,neu,neu
What's wrong?,"You didn't fill this out right. All right. It says that you have to fill out the back sheet of this, but you filled out the yellow sheet of it.",neu,neu
"You didn't fill this out right. All right. It says that you have to fill out the back sheet of this, but you filled out the yellow sheet of it.","No, no, no, no, no, no. The lady over there, she told me to fill out the front and she said to wait in this line.",neu,fru
